Number;Name;Spawn_Type;Average_Rarity_Score;Recommendation;Data_Sources;Structured_Spawn_Data_Score;Enhanced_Curated_Data_Score;PokemonDB_Catch_Rate_Score;rarity_score_final
444;Gabite;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
445;Garchomp;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
446;Munchlax;wild;1.98;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.96;0.44
447;Riolu;wild;2.47;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;2.94;0.65
448;Lucario;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
449;Hippopotas;wild;5.49;Depends on Circumstances;PokemonDB Catch Rate;;;5.49;0.00
450;Hippowdon;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
451;Skorupi;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
452;Drapion;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
453;Croagunk;wild;5.49;Depends on Circumstances;PokemonDB Catch Rate;;;5.49;0.00
454;Toxicroak;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
455;Carnivine;wild;4.92;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;7.84;1.74
456;Finneon;wild;6.73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;7.45;4.97
457;Lumineon;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
458;Mantyke;wild;1.99;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;0.98;0.33
459;Snover;wild;5.35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;4.71;3.14
460;Abomasnow;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
461;Weavile;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
462;Magnezone;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
463;Lickilicky;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
464;Rhyperior;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
465;Tangrowth;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
466;Electivire;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
467;Magmortar;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
468;Togekiss;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
469;Yanmega;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
470;Leafeon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
471;Glaceon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
472;Gliscor;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
473;Mamoswine;wild;1.96;Should Always Trade;PokemonDB Catch Rate;;;1.96;0.00
474;Porygon-Z;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
475;Gallade;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
476;Probopass;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
477;Dusknoir;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
478;Froslass;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
479;Rotom;event-only;1.88;Never Transfer (Event Only);Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
480;Uxie;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
481;Mesprit;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
482;Azelf;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
483;Dialga;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
484;Palkia;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
485;Heatran;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
486;Regigigas;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
487;Giratina;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
488;Cresselia;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
489;Phione;legendary;1.18;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.18;0.00
490;Manaphy;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
491;Darkrai;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
492;Shaymin;legendary;1.76;Never Transfer (Legendary);PokemonDB Catch Rate;;;1.76;0.00
493;Arceus;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
494;Victini;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
495;Snivy;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
496;Servine;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
497;Serperior;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
498;Tepig;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
499;Pignite;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
500;Emboar;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
501;Oshawott;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
502;Dewott;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
503;Samurott;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
503;Hisuian Samurott;wild;1.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;1.76;0.20
504;Patrat;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
505;Watchog;wild;10.00;Safe to Transfer;PokemonDB Catch Rate;;;10.00;0.00
506;Lillipup;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
507;Herdier;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
508;Stoutland;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
509;Purrloin;wild;10.00;Safe to Transfer;PokemonDB Catch Rate;;;10.00;0.00
510;Liepard;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
511;Pansage;wild;7.45;Safe to Transfer;PokemonDB Catch Rate;;;7.45;0.00
512;Simisage;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
513;Pansear;wild;7.45;Safe to Transfer;PokemonDB Catch Rate;;;7.45;0.00
514;Simisear;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
515;Panpour;wild;7.45;Safe to Transfer;PokemonDB Catch Rate;;;7.45;0.00
516;Simipour;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
517;Munna;wild;7.45;Safe to Transfer;PokemonDB Catch Rate;;;7.45;0.00
518;Musharna;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
519;Pidove;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
520;Tranquill;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
521;Unfezant;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
522;Blitzle;wild;7.45;Safe to Transfer;PokemonDB Catch Rate;;;7.45;0.00
523;Zebstrika;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
524;Roggenrola;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
525;Boldore;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
526;Gigalith;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
527;Woobat;wild;6.73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;7.45;4.97
528;Swoobat;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
529;Drilbur;wild;4.85;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;4.71;2.62
530;Excadrill;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
531;Audino;wild;7.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;10.00;4.44
532;Timburr;wild;5.53;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.06;3.14
533;Gurdurr;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
534;Conkeldurr;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
535;Tympole;wild;8.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;10.00;6.67
536;Palpitoad;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
537;Seismitoad;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
538;Throh;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
539;Sawk;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
540;Sewaddle;wild;7.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;10.00;5.56
541;Swadloon;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
542;Leavanny;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
543;Venipede;wild;7.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;10.00;5.56
544;Whirlipede;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
545;Scolipede;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
546;Cottonee;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
547;Whimsicott;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
548;Petilil;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
549;Lilligant;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
549;Hisuian Lilligant;wild;1.97;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;2.94;0.33
550;Basculin;wild;2.99;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;0.98;0.54
551;Sandile;wild;6.03;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.06;3.92
552;Krokorok;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
553;Krookodile;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
554;Darumaka;wild;4.85;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;4.71;2.62
554;Galarian Darumaka;wild;3.85;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;4.71;1.57
555;Darmanitan;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
555;Galarian Darmanitan;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
556;Maractus;wild;6.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;10.00;2.22
557;Dwebble;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
558;Crustle;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
559;Scraggy;wild;6.03;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.06;3.92
560;Scrafty;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
561;Sigilyph;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
562;Yamask;wild;5.23;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;7.45;2.48
562;Galarian Yamask;wild;5.23;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;7.45;2.48
563;Cofagrigus;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
564;Tirtouga;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
565;Carracosta;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
566;Archen;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
567;Archeops;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
568;Trubbish;wild;6.73;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;7.45;4.97
569;Garbodor;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
570;Zorua;wild;1.97;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;2.94;0.33
570;Hisuian Zorua;wild;1.97;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;2.94;0.33
571;Zoroark;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
571;Hisuian Zoroark;wild;1.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;1.76;0.20
572;Minccino;wild;7.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;10.00;5.56
573;Cinccino;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
574;Gothita;wild;6.42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.84;4.36
575;Gothorita;wild;3.92;Depends on Circumstances;PokemonDB Catch Rate;;;3.92;0.00
576;Gothitelle;wild;1.96;Should Always Trade;PokemonDB Catch Rate;;;1.96;0.00
577;Solosis;wild;6.42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.84;4.36
578;Duosion;wild;3.92;Depends on Circumstances;PokemonDB Catch Rate;;;3.92;0.00
579;Reuniclus;wild;1.96;Should Always Trade;PokemonDB Catch Rate;;;1.96;0.00
580;Ducklett;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
581;Swanna;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
582;Vanillite;wild;7.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;10.00;5.56
583;Vanillish;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
584;Vanilluxe;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
585;Deerling;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
586;Sawsbuck;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
587;Emolga;wild;4.92;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;7.84;1.74
588;Karrablast;wild;5.42;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;7.84;2.61
589;Escavalier;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
590;Foongus;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
591;Amoonguss;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
592;Frillish;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
593;Jellicent;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
594;Alomomola;wild;2.47;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;2.94;0.65
595;Joltik;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
596;Galvantula;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
597;Ferroseed;wild;7.50;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;10.00;5.56
598;Ferrothorn;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
599;Klink;wild;4.55;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;5.10;2.27
600;Klang;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
601;Klinklang;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
602;Tynamo;wild;4.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;7.45;1.66
603;Eelektrik;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
604;Eelektross;wild;1.18;Should Always Trade;PokemonDB Catch Rate;;;1.18;0.00
605;Elgyem;wild;6.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;10.00;2.22
606;Beheeyem;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
607;Litwick;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
608;Lampent;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
609;Chandelure;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
610;Axew;wild;1.97;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;2.94;0.33
611;Fraxure;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
612;Haxorus;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
613;Cubchoo;wild;4.85;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;4.71;2.62
614;Beartic;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
615;Cryogonal;wild;1.49;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;0.98;0.22
616;Shelmet;wild;5.92;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.84;3.48
617;Accelgor;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
618;Stunfisk;wild;2.47;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;2.94;0.65
618;Galarian Stunfisk;wild;2.97;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;2.94;0.98
619;Mienfoo;wild;6.03;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.06;3.92
620;Mienshao;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
621;Druddigon;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
622;Golett;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
623;Golurk;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
624;Pawniard;wild;4.35;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;4.71;2.09
625;Bisharp;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
626;Bouffalant;wild;1.88;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;1.76;0.39
627;Rufflet;wild;4.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;7.45;1.66
628;Braviary;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
628;Hisuian Braviary;wild;1.68;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;2.35;0.26
629;Vullaby;wild;4.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;7.45;1.66
630;Mandibuzz;wild;2.35;Should Always Trade;PokemonDB Catch Rate;;;2.35;0.00
631;Heatmor;wild;2.76;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;3.53;0.78
632;Durant;wild;2.76;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;2.00;3.53;0.78
633;Deino;wild;1.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;1.76;0.20
634;Zweilous;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
635;Hydreigon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
636;Larvesta;wild;1.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;1.00;1.76;0.20
637;Volcarona;wild;0.59;Should Always Trade;PokemonDB Catch Rate;;;0.59;0.00
638;Cobalion;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
639;Terrakion;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
640;Virizion;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
641;Tornadus;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
642;Thundurus;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
643;Reshiram;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
644;Zekrom;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
645;Landorus;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
646;Kyurem;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
647;Keldeo;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
648;Meloetta;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
649;Genesect;legendary;0.12;Never Transfer (Legendary);PokemonDB Catch Rate;;;0.12;0.00
650;Chespin;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
651;Quilladin;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
652;Chesnaught;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
653;Fennekin;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
654;Braixen;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
655;Delphox;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
656;Froakie;wild;3.88;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;6.00;1.76;1.17
657;Frogadier;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
658;Greninja;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
659;Bunnelby;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
660;Diggersby;wild;4.98;Depends on Circumstances;PokemonDB Catch Rate;;;4.98;0.00
661;Fletchling;wild;9.00;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;8.00;10.00;8.89
662;Fletchinder;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
663;Talonflame;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
664;Scatterbug;wild;10.00;Safe to Transfer;PokemonDB Catch Rate;;;10.00;0.00
665;Spewpa;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
666;Vivillon;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
667;Litleo;wild;6.81;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;8.63;4.79
668;Pyroar;wild;2.55;Should Always Trade;PokemonDB Catch Rate;;;2.55;0.00
669;Flabébé;wild;6.91;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;8.82;4.90
670;Floette;wild;4.71;Depends on Circumstances;PokemonDB Catch Rate;;;4.71;0.00
671;Florges;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
672;Skiddo;wild;6.42;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.84;4.36
673;Gogoat;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
674;Pancham;wild;6.31;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;8.63;3.84
675;Pangoro;wild;2.55;Should Always Trade;PokemonDB Catch Rate;;;2.55;0.00
676;Furfrou;wild;4.64;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;6.27;2.09
677;Espurr;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
678;Meowstic;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
679;Honedge;wild;5.53;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.06;3.14
680;Doublade;wild;3.53;Depends on Circumstances;PokemonDB Catch Rate;;;3.53;0.00
681;Aegislash;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
682;Spritzee;wild;5.92;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.84;3.48
683;Aromatisse;wild;5.49;Depends on Circumstances;PokemonDB Catch Rate;;;5.49;0.00
684;Swirlix;wild;5.92;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.84;3.48
685;Slurpuff;wild;5.49;Depends on Circumstances;PokemonDB Catch Rate;;;5.49;0.00
686;Inkay;wild;5.73;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;4.00;7.45;3.31
687;Malamar;wild;3.14;Depends on Circumstances;PokemonDB Catch Rate;;;3.14;0.00
688;Binacle;wild;4.85;Depends on Circumstances;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;4.71;2.62
689;Barbaracle;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
690;Skrelp;wild;6.91;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;8.82;4.90
691;Dragalge;wild;2.16;Should Always Trade;PokemonDB Catch Rate;;;2.16;0.00
692;Clauncher;wild;6.91;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;8.82;4.90
693;Clawitzer;wild;2.16;Should Always Trade;PokemonDB Catch Rate;;;2.16;0.00
694;Helioptile;wild;6.23;Safe to Transfer;Enhanced Curated Data, PokemonDB Catch Rate;;5.00;7.45;4.14
695;Heliolisk;wild;2.94;Should Always Trade;PokemonDB Catch Rate;;;2.94;0.00
696;Tyrunt;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
697;Tyrantrum;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
698;Amaura;wild;2.38;Should Always Trade;Enhanced Curated Data, PokemonDB Catch Rate;;3.00;1.76;0.59
699;Aurorus;wild;1.76;Should Always Trade;PokemonDB Catch Rate;;;1.76;0.00
